测试误差,训练误差,类型,b_m,d,n
0.714225195095,0.698979591837,平均加权,2,2,100
0.713177257525,0.678571428571,分数匹配加权,2,2,100
0.702987736901,0.576530612245,平均加权,2,2,100
0.488160535117,0.479591836735,分数匹配加权,2,2,100
0.485930880713,0.540816326531,平均加权,2,2,100
0.383901895206,0.530612244898,分数匹配加权,2,2,100
0.652976588629,0.734693877551,平均加权,2,2,100
0.635919732441,0.739795918367,分数匹配加权,2,2,100
0.670301003344,0.709183673469,平均加权,2,2,100
0.669364548495,0.714285714286,分数匹配加权,2,2,100
0.633913043478,0.683673469388,平均加权,2,2,100
0.591594202899,0.704081632653,分数匹配加权,2,2,100
0.624057971014,0.668367346939,平均加权,2,2,100
0.628049052397,0.668367346939,分数匹配加权,2,2,100
0.667670011148,0.642857142857,平均加权,2,2,100
0.616878483835,0.637755102041,分数匹配加权,2,2,100
0.492017837235,0.668367346939,平均加权,2,2,100
0.492017837235,0.668367346939,分数匹配加权,2,2,100
0.575986622074,0.566326530612,平均加权,2,2,100
0.567580824972,0.581632653061,分数匹配加权,2,2,100
0.528272017837,0.612244897959,平均加权,2,2,100
0.535652173913,0.520408163265,分数匹配加权,2,2,100
0.521204013378,0.622448979592,平均加权,2,2,100
0.519085841695,0.566326530612,分数匹配加权,2,2,100
0.727848383501,0.739795918367,平均加权,2,2,100
0.728004459309,0.719387755102,分数匹配加权,2,2,100
0.639152731327,0.719387755102,平均加权,2,2,100
0.607045707915,0.673469387755,分数匹配加权,2,2,100
0.511884057971,0.571428571429,平均加权,2,2,100
0.504459308807,0.515306122449,分数匹配加权,2,2,100
0.651638795987,0.642857142857,平均加权,2,2,100
0.582675585284,0.612244897959,分数匹配加权,2,2,100
0.625484949833,0.602040816327,平均加权,2,2,100
0.648762541806,0.591836734694,分数匹配加权,2,2,100
0.644704570792,0.647959183673,平均加权,2,2,100
0.628963210702,0.627551020408,分数匹配加权,2,2,100
0.653578595318,0.704081632653,平均加权,2,2,100
0.654336677815,0.683673469388,分数匹配加权,2,2,100
0.64115942029,0.591836734694,平均加权,2,2,100
0.668182831661,0.637755102041,分数匹配加权,2,2,100
0.49226309922,0.586734693878,平均加权,2,2,100
0.550434782609,0.59693877551,分数匹配加权,2,2,100
0.595518394649,0.65306122449,平均加权,2,2,100
0.59502787068,0.678571428571,分数匹配加权,2,2,100
0.70276477146,0.755102040816,平均加权,2,2,100
