测试误差,训练误差,类型,b_m,d,n
0.469257339808,0.436119296635,平均加权,2,8,100
0.562078789925,0.614343058314,分数匹配加权,2,8,100
0.161799993759,0.170204417445,平均加权,2,8,100
0.173476218369,0.188816200887,分数匹配加权,2,8,100
0.336340397128,0.426133462912,平均加权,2,8,100
0.417228583686,0.509507045554,分数匹配加权,2,8,100
0.873419271349,0.906786497538,平均加权,2,8,100
0.953607517504,0.993591099642,分数匹配加权,2,8,100
0.892027538832,0.773943912771,平均加权,2,8,100
0.946619658742,0.882669209936,分数匹配加权,2,8,100
0.256177713314,0.212444572067,平均加权,2,8,100
0.32475649451,0.255737050488,分数匹配加权,2,8,100
0.573992634057,0.513508864869,平均加权,2,8,100
0.580969071695,0.672827623067,分数匹配加权,2,8,100
0.482103913692,0.400900560239,平均加权,2,8,100
0.563800436257,0.467181216409,分数匹配加权,2,8,100
0.354169483343,0.283687556504,平均加权,2,8,100
0.407487926642,0.31767740317,分数匹配加权,2,8,100
0.87922429789,0.816732669408,平均加权,2,8,100
0.895299337815,0.877115198081,分数匹配加权,2,8,100
0.318156484178,0.26467196342,平均加权,2,8,100
0.350631977872,0.303386415872,分数匹配加权,2,8,100
0.519000026613,0.407490233189,平均加权,2,8,100
0.636974269953,0.552486812193,分数匹配加权,2,8,100
0.434236818602,0.410446016856,平均加权,2,8,100
0.481764730531,0.463584944854,分数匹配加权,2,8,100
0.276197680056,0.284298100512,平均加权,2,8,100
0.363637884989,0.367157191034,分数匹配加权,2,8,100
0.501248669304,0.371150141872,平均加权,2,8,100
0.522777315799,0.40626425913,分数匹配加权,2,8,100
0.578368231282,0.528748502818,平均加权,2,8,100
0.655284442765,0.590723632169,分数匹配加权,2,8,100
0.253598666132,0.328867726712,平均加权,2,8,100
0.315359650257,0.38380140224,分数匹配加权,2,8,100
0.698043086745,0.690732213467,平均加权,2,8,100
0.793044416049,0.834650143008,分数匹配加权,2,8,100
0.386061916692,0.329636849547,平均加权,2,8,100
0.505321780687,0.384969964476,分数匹配加权,2,8,100
0.653148418668,0.59929638683,平均加权,2,8,100
0.701631025783,0.684267481325,分数匹配加权,2,8,100
0.383806935524,0.335619602645,平均加权,2,8,100
0.423684960546,0.394856621485,分数匹配加权,2,8,100
0.330696217565,0.247275121686,平均加权,2,8,100
0.377100165943,0.285422915364,分数匹配加权,2,8,100
0.806851460461,0.634072081834,平均加权,2,8,100
1.00227782035,0.750733256052,分数匹配加权,2,8,100
0.636348889484,0.431304525705,平均加权,2,8,100
0.724783614427,0.521543526405,分数匹配加权,2,8,100
0.282331929242,0.31535078395,平均加权,2,8,100
0.380544346307,0.44274824123,分数匹配加权,2,8,100
0.704786539396,0.551728030064,平均加权,2,8,100
0.739113171182,0.681341921627,分数匹配加权,2,8,100
0.335650164813,0.281204092319,平均加权,2,8,100
