test,train,type,bam,n,m
360.981326262,392.767420085,equal,1,2,400
360.742924004,392.97454885,fmn,1,2,400
1130.9537324,1007.85376234,equal,1,2,400
1144.5628513,1127.95881171,fmn,1,2,400
1130.9537324,1007.85376234,equal,1,2,400
1144.5628513,1127.95881171,fmn,1,2,400
538.650644248,553.586398047,equal,1,2,400
541.229081708,583.415003108,fmn,1,2,400
582.278995596,539.013834775,equal,1,2,400
539.534058792,479.663829101,fmn,1,2,400
722.372318764,608.034180113,equal,1,2,400
671.459793033,677.41272081,fmn,1,2,400
722.372318764,608.034180113,equal,1,2,400
671.459793033,677.41272081,fmn,1,2,400
535.996509043,484.844987715,equal,1,2,400
530.541868629,470.879559021,fmn,1,2,400
675.45338252,616.001277851,equal,1,2,400
666.782022708,704.142715158,fmn,1,2,400
678.642855873,685.490205879,equal,1,2,400
686.0472027,700.370159316,fmn,1,2,400
678.642855873,685.490205879,equal,1,2,400
686.0472027,700.370159316,fmn,1,2,400
781.177246861,649.65520769,equal,1,2,400
794.021103988,654.99978184,fmn,1,2,400
712.547091521,597.126447608,equal,1,2,400
702.74383021,527.787296931,fmn,1,2,400
844.550602323,681.257628637,equal,1,2,400
842.262425016,758.088674306,fmn,1,2,400
579.81935503,610.241609145,equal,1,2,400
570.484373146,521.149579456,fmn,1,2,400
857.532175965,699.956417635,equal,1,2,400
824.252657111,726.187523422,fmn,1,2,400
503.507166737,413.80397758,equal,1,2,400
464.26934539,464.820118623,fmn,1,2,400
781.449271922,668.903325039,equal,1,2,400
771.055089829,598.394048473,fmn,1,2,400
868.4100438,757.159788988,equal,1,2,400
882.944893556,797.778011504,fmn,1,2,400
692.493266022,768.176126588,equal,1,2,400
673.604814019,649.638166991,fmn,1,2,400
692.493266022,768.176126588,equal,1,2,400
673.604814019,649.638166991,fmn,1,2,400
725.755939178,697.024437039,equal,1,2,400
726.804806083,632.226719931,fmn,1,2,400
725.755939178,697.024437039,equal,1,2,400
726.804806083,632.226719931,fmn,1,2,400
748.369938977,757.729631996,equal,1,2,400
744.87543604,760.84912314,fmn,1,2,400
748.369938977,757.729631996,equal,1,2,400
744.87543604,760.84912314,fmn,1,2,400
605.228490064,499.296715766,equal,1,2,400
597.406601778,535.585595727,fmn,1,2,400
605.228490064,499.296715766,equal,1,2,400
597.406601778,535.585595727,fmn,1,2,400
712.56109525,574.07865049,equal,1,2,400
691.596862813,594.569833262,fmn,1,2,400
554.905596394,551.372204171,equal,1,2,400
529.495439737,613.711038002,fmn,1,2,400
713.167268618,633.171549181,equal,1,2,400
728.082453824,674.964777376,fmn,1,2,400
887.533180869,706.204981363,equal,1,2,400
861.395052007,766.52137225,fmn,1,2,400
919.202215831,839.179616302,equal,1,2,400
922.613109973,859.465645735,fmn,1,2,400
603.128480187,690.068580077,equal,1,2,400
605.091650561,615.549222711,fmn,1,2,400
906.597575259,726.559612526,equal,1,2,400
931.716647592,611.983737739,fmn,1,2,400
586.179874846,477.969043498,equal,1,2,400
594.385252462,540.260176967,fmn,1,2,400
746.124805885,702.902445908,equal,1,2,400
754.727843752,605.447248997,fmn,1,2,400
746.124805885,702.902445908,equal,1,2,400
754.727843752,605.447248997,fmn,1,2,400
863.029668787,898.33247277,equal,1,2,400
857.200712088,841.721067685,fmn,1,2,400
863.029668787,898.33247277,equal,1,2,400
857.200712088,841.721067685,fmn,1,2,400
443.594461238,425.019140506,equal,1,2,400
464.756961415,431.61742326,fmn,1,2,400
443.594461238,425.019140506,equal,1,2,400
464.756961415,431.61742326,fmn,1,2,400
714.460383956,639.955274628,equal,1,2,400
731.649605068,712.652361001,fmn,1,2,400
714.460383956,639.955274628,equal,1,2,400
731.649605068,712.652361001,fmn,1,2,400
631.039107383,448.47878068,equal,1,2,400
630.956204522,545.843392082,fmn,1,2,400
773.690480518,829.56648026,equal,1,2,400
763.145475256,749.029939913,fmn,1,2,400
1127.3854383,965.71994736,equal,1,2,400
975.022466927,900.305558876,fmn,1,2,400
1127.3854383,965.71994736,equal,1,2,400
975.022466927,900.305558876,fmn,1,2,400
609.267810322,617.030567734,equal,1,2,400
623.468689919,633.588824517,fmn,1,2,400
499.305679841,439.869401091,equal,1,2,400
494.357127068,425.723209875,fmn,1,2,400
641.729383812,694.807472927,equal,1,2,400
639.871787304,605.363227627,fmn,1,2,400
641.729383812,694.807472927,equal,1,2,400
639.871787304,605.363227627,fmn,1,2,400
852.257929068,780.604507303,equal,1,2,400
870.212920998,705.776423971,fmn,1,2,400
893.26480357,681.465657121,equal,1,2,400
845.269645869,831.015472988,fmn,1,2,400
633.434584998,581.642077048,equal,1,2,400
623.496283331,542.874340495,fmn,1,2,400
675.146458385,622.082298993,equal,1,2,400
617.742669486,627.400128359,fmn,1,2,400
682.373576039,561.96642293,equal,1,2,400
677.810879024,624.568862202,fmn,1,2,400
507.876795016,391.23705702,equal,1,2,400
489.760825572,402.71794383,fmn,1,2,400
597.948310107,520.888262521,equal,1,2,400
586.26188347,573.734125431,fmn,1,2,400
597.948310107,520.888262521,equal,1,2,400
586.26188347,573.734125431,fmn,1,2,400
499.135713222,436.655518147,equal,1,2,400
501.125008596,437.511613314,fmn,1,2,400
766.298075108,619.171576703,equal,1,2,400
769.33170543,776.893517662,fmn,1,2,400
500.475153107,370.614822988,equal,1,2,400
457.474229165,417.637771569,fmn,1,2,400
500.475153107,370.614822988,equal,1,2,400
457.474229165,417.637771569,fmn,1,2,400
924.665059375,1097.6466204,equal,1,2,400
920.729932829,1071.43442754,fmn,1,2,400
924.665059375,1097.6466204,equal,1,2,400
920.729932829,1071.43442754,fmn,1,2,400
950.386889529,542.415735419,equal,1,2,400
876.827302068,663.857121313,fmn,1,2,400
950.386889529,542.415735419,equal,1,2,400
876.827302068,663.857121313,fmn,1,2,400
515.140508891,357.79607062,equal,1,2,400
536.80401841,387.961826087,fmn,1,2,400
515.140508891,357.79607062,equal,1,2,400
536.80401841,387.961826087,fmn,1,2,400
730.228563012,714.425703205,equal,1,2,400
665.080412795,846.692737954,fmn,1,2,400
579.269805722,424.241654113,equal,1,2,400
570.924581309,484.583343699,fmn,1,2,400
796.887986686,692.574785599,equal,1,2,400
717.442416734,778.102644477,fmn,1,2,400
477.025242582,458.025871803,equal,1,2,400
453.793761526,490.390335731,fmn,1,2,400
748.166150935,577.036942614,equal,1,2,400
678.314704272,482.323615145,fmn,1,2,400
712.763263435,518.026762671,equal,1,2,400
676.910862537,603.824105683,fmn,1,2,400
767.424622509,708.611831235,equal,1,2,400
767.005348006,787.918865384,fmn,1,2,400
864.740522606,689.548491205,equal,1,2,400
828.374031057,729.70242546,fmn,1,2,400
711.611554107,667.423200433,equal,1,2,400
690.694468013,642.841380942,fmn,1,2,400
707.228262369,632.953984794,equal,1,2,400
688.49747553,622.813741644,fmn,1,2,400
781.965618609,578.863349877,equal,1,2,400
796.253452074,657.908431449,fmn,1,2,400
781.965618609,578.863349877,equal,1,2,400
796.253452074,657.908431449,fmn,1,2,400
528.14440115,574.855859721,equal,1,2,400
544.36315177,586.995297019,fmn,1,2,400
528.14440115,574.855859721,equal,1,2,400
544.36315177,586.995297019,fmn,1,2,400
631.222292608,626.916509832,equal,1,2,400
607.955298173,607.785219628,fmn,1,2,400
631.222292608,626.916509832,equal,1,2,400
607.955298173,607.785219628,fmn,1,2,400
783.129136782,718.376073634,equal,1,2,400
827.901478757,621.499958746,fmn,1,2,400
627.391450537,754.818549157,equal,1,2,400
642.592214432,646.45360873,fmn,1,2,400
572.46974195,516.796328478,equal,1,2,400
570.541682556,621.10500789,fmn,1,2,400
572.46974195,516.796328478,equal,1,2,400
570.541682556,621.10500789,fmn,1,2,400
748.441333334,754.514254372,equal,1,2,400
739.23857985,884.756767563,fmn,1,2,400
696.471575199,832.256276895,equal,1,2,400
704.53407332,784.784789649,fmn,1,2,400
556.291412584,614.300034833,equal,1,2,400
530.384991127,582.122995288,fmn,1,2,400
556.291412584,614.300034833,equal,1,2,400
530.384991127,582.122995288,fmn,1,2,400
842.277470327,769.60149701,equal,1,2,400
832.534197563,714.318657649,fmn,1,2,400
554.396659923,559.481488267,equal,1,2,400
533.957135607,720.045300968,fmn,1,2,400
660.738737972,743.811676593,equal,1,2,400
655.063409603,602.828513797,fmn,1,2,400
660.738737972,743.811676593,equal,1,2,400
655.063409603,602.828513797,fmn,1,2,400
518.922519092,613.48412614,equal,1,2,400
496.184652302,542.025224222,fmn,1,2,400
518.922519092,613.48412614,equal,1,2,400
496.184652302,542.025224222,fmn,1,2,400
720.100933196,665.239053976,equal,1,2,400
713.366985636,572.085615459,fmn,1,2,400
866.461721164,770.938952202,equal,1,6,400
814.536310363,916.912941498,fmn,1,6,400
842.819233283,639.05396909,equal,1,6,400
783.414261683,708.368497589,fmn,1,6,400
842.819233283,639.05396909,equal,1,6,400
783.414261683,708.368497589,fmn,1,6,400
739.200185322,685.566068005,equal,1,6,400
799.105180942,578.754914929,fmn,1,6,400
739.200185322,685.566068005,equal,1,6,400
799.105180942,578.754914929,fmn,1,6,400
860.606256392,582.543391143,equal,1,6,400
833.084351484,606.09629108,fmn,1,6,400
860.606256392,582.543391143,equal,1,6,400
833.084351484,606.09629108,fmn,1,6,400
767.408714034,545.342268406,equal,1,6,400
751.225100576,595.234305725,fmn,1,6,400
767.408714034,545.342268406,equal,1,6,400
751.225100576,595.234305725,fmn,1,6,400
593.250885186,479.442806419,equal,1,6,400
597.775809338,526.455398798,fmn,1,6,400
736.53044556,541.861879275,equal,1,6,400
752.208844142,623.08375586,fmn,1,6,400
850.608407084,661.200301,equal,1,6,400
813.901700142,776.980015889,fmn,1,6,400
850.608407084,661.200301,equal,1,6,400
813.901700142,776.980015889,fmn,1,6,400
959.976790394,682.837437796,equal,1,6,400
895.020997643,688.534008923,fmn,1,6,400
959.976790394,682.837437796,equal,1,6,400
895.020997643,688.534008923,fmn,1,6,400
680.932268005,414.491465355,equal,1,6,400
679.213317516,452.043586811,fmn,1,6,400
811.710306131,759.468252493,equal,1,6,400
853.300047744,794.516435701,fmn,1,6,400
575.920771488,534.874246548,equal,1,6,400
573.793625252,555.522409683,fmn,1,6,400
776.344078902,722.459879392,equal,1,6,400
741.096560986,666.256419482,fmn,1,6,400
982.380422734,691.787628829,equal,1,6,400
962.708972277,658.009466523,fmn,1,6,400
999.102786547,763.787165114,equal,1,6,400
961.486099197,804.804620341,fmn,1,6,400
581.168938353,509.739886445,equal,1,6,400
584.790379791,620.384055899,fmn,1,6,400
581.168938353,509.739886445,equal,1,6,400
584.790379791,620.384055899,fmn,1,6,400
989.013594528,750.432772979,equal,1,6,400
942.613709669,806.5458959,fmn,1,6,400
645.149258727,795.63088494,equal,1,6,400
651.947413077,692.08421434,fmn,1,6,400
847.959783681,1073.79141675,equal,1,6,400
835.710862731,928.050447463,fmn,1,6,400
776.849063707,511.105543761,equal,1,6,400
769.490909392,658.369078958,fmn,1,6,400
725.613824448,556.86187664,equal,1,6,400
722.041057586,613.611847206,fmn,1,6,400
735.949826312,589.782957896,equal,1,6,400
731.160910894,812.624220892,fmn,1,6,400
700.579624758,644.464038534,equal,1,6,400
699.906234871,729.736264263,fmn,1,6,400
871.953197986,621.184784119,equal,1,6,400
865.505834979,644.715081877,fmn,1,6,400
703.95021632,452.078647872,equal,1,6,400
720.895824263,444.980752569,fmn,1,6,400
703.95021632,452.078647872,equal,1,6,400
720.895824263,444.980752569,fmn,1,6,400
739.14733511,594.110517437,equal,1,6,400
753.95316481,591.785750442,fmn,1,6,400
731.838262979,848.587119999,equal,1,6,400
661.18356759,685.686617386,fmn,1,6,400
671.967416069,539.040603334,equal,1,6,400
639.936971905,546.822658774,fmn,1,6,400
802.449051469,566.343990644,equal,1,6,400
762.860807913,657.50855905,fmn,1,6,400
838.517290616,706.075783774,equal,1,6,400
750.308937976,812.716071552,fmn,1,6,400
608.895152829,525.435127159,equal,1,6,400
608.087844671,480.462235773,fmn,1,6,400
496.113448296,490.410731078,equal,1,6,400
491.543503543,471.895519856,fmn,1,6,400
905.551012465,714.370313119,equal,1,6,400
880.129170802,684.72143989,fmn,1,6,400
776.176200668,559.44605433,equal,1,6,400
756.244960694,623.393473762,fmn,1,6,400
831.30185308,691.021787314,equal,1,6,400
815.090136575,742.961128565,fmn,1,6,400
753.248652466,538.854752558,equal,1,6,400
734.412577878,585.372909149,fmn,1,6,400
524.823937153,501.085009501,equal,1,6,400
504.229439011,527.954821472,fmn,1,6,400
515.679026596,414.16523289,equal,1,6,400
480.334235757,527.311407405,fmn,1,6,400
515.679026596,414.16523289,equal,1,6,400
480.334235757,527.311407405,fmn,1,6,400
672.325580846,533.770286042,equal,1,6,400
681.096335001,548.464944256,fmn,1,6,400
672.325580846,533.770286042,equal,1,6,400
681.096335001,548.464944256,fmn,1,6,400
685.522140208,498.965473795,equal,1,6,400
679.358779619,527.177386194,fmn,1,6,400
685.522140208,498.965473795,equal,1,6,400
679.358779619,527.177386194,fmn,1,6,400
676.335183961,627.010308886,equal,1,6,400
669.896102629,711.196570523,fmn,1,6,400
676.335183961,627.010308886,equal,1,6,400
669.896102629,711.196570523,fmn,1,6,400
572.761604227,441.506142565,equal,1,6,400
532.641097072,464.620388181,fmn,1,6,400
746.773167369,561.100282303,equal,1,6,400
653.480625816,616.673179939,fmn,1,6,400
655.815932641,599.898462966,equal,1,6,400
641.641170906,517.246733145,fmn,1,6,400
691.324925261,571.288315194,equal,1,6,400
698.702034688,570.935035109,fmn,1,6,400
719.451377483,590.822334671,equal,1,6,400
677.127151652,616.859531467,fmn,1,6,400
730.616162051,510.928359425,equal,1,6,400
727.933407138,525.546778887,fmn,1,6,400
799.819298965,653.898064333,equal,1,6,400
772.28052011,605.150173833,fmn,1,6,400
510.720037221,448.435009207,equal,1,6,400
501.43401099,413.265441422,fmn,1,6,400
829.305679134,741.213415749,equal,1,6,400
778.613911713,705.401237121,fmn,1,6,400
829.305679134,741.213415749,equal,1,6,400
778.613911713,705.401237121,fmn,1,6,400
727.322510362,567.4125697,equal,1,6,400
716.915362398,494.964161066,fmn,1,6,400
779.890039531,653.215142359,equal,1,6,400
783.479025145,685.228619673,fmn,1,6,400
721.340801026,607.648589071,equal,1,6,400
706.094421238,655.501584407,fmn,1,6,400
718.785504248,568.744286714,equal,1,6,400
725.316934447,609.634881266,fmn,1,6,400
841.602135251,781.977932132,equal,1,6,400
829.772085736,902.115021344,fmn,1,6,400
841.602135251,781.977932132,equal,1,6,400
829.772085736,902.115021344,fmn,1,6,400
780.316183539,669.522192624,equal,1,6,400
700.345081801,682.583282198,fmn,1,6,400
780.316183539,669.522192624,equal,1,6,400
700.345081801,682.583282198,fmn,1,6,400
837.591229152,637.815346784,equal,1,6,400
800.160304803,677.967358299,fmn,1,6,400
706.66343282,584.337400841,equal,1,6,400
672.144323875,627.991463232,fmn,1,6,400
733.291199105,536.58391478,equal,1,6,400
705.32463851,556.915305936,fmn,1,6,400
733.291199105,536.58391478,equal,1,6,400
705.32463851,556.915305936,fmn,1,6,400
678.009417886,494.141749655,equal,1,6,400
663.416105657,506.441491583,fmn,1,6,400
678.009417886,494.141749655,equal,1,6,400
663.416105657,506.441491583,fmn,1,6,400
641.392055697,619.667322869,equal,1,6,400
665.085964918,688.220343738,fmn,1,6,400
752.135380247,624.621139859,equal,1,6,400
760.57103664,751.596264124,fmn,1,6,400
754.615901021,600.313505216,equal,1,6,400
760.705354631,643.239780381,fmn,1,6,400
480.968078996,382.155241019,equal,1,6,400
474.634484096,412.108534047,fmn,1,6,400
788.99643025,565.525335443,equal,1,6,400
827.563255113,601.46213844,fmn,1,6,400
698.593925038,643.666664649,equal,1,6,400
693.21545894,639.449655681,fmn,1,6,400
677.788616664,447.511044514,equal,1,6,400
633.35265554,398.537364789,fmn,1,6,400
677.788616664,447.511044514,equal,1,6,400
633.35265554,398.537364789,fmn,1,6,400
663.921141238,479.915696936,equal,1,6,400
620.587474984,539.381271517,fmn,1,6,400
663.921141238,479.915696936,equal,1,6,400
620.587474984,539.381271517,fmn,1,6,400
794.151815824,574.319918066,equal,1,6,400
765.931672814,701.768913156,fmn,1,6,400
794.151815824,574.319918066,equal,1,6,400
765.931672814,701.768913156,fmn,1,6,400
761.120192838,776.525551214,equal,1,6,400
711.854578961,833.768515765,fmn,1,6,400
666.264833757,623.510476749,equal,1,6,400
721.29866085,753.743666089,fmn,1,6,400
580.427102077,429.744692571,equal,1,6,400
576.947164934,394.321758365,fmn,1,6,400
946.629832872,597.362923405,equal,1,6,400
927.620278238,570.616114366,fmn,1,6,400
551.96832798,357.173298768,equal,1,6,400
512.015506664,332.821186199,fmn,1,6,400
551.96832798,357.173298768,equal,1,6,400
512.015506664,332.821186199,fmn,1,6,400
625.302464391,635.536387735,equal,1,6,400
610.790930418,603.956816378,fmn,1,6,400
625.302464391,635.536387735,equal,1,6,400
610.790930418,603.956816378,fmn,1,6,400
621.309378673,563.983663372,equal,1,6,400
620.583223333,509.566390355,fmn,1,6,400
621.309378673,563.983663372,equal,1,6,400
620.583223333,509.566390355,fmn,1,6,400
644.69454136,515.470936767,equal,1,6,400
606.099662306,602.154318963,fmn,1,6,400
