测试误差,训练误差,类型,b_m,d,n
0.58593088071348942,0.62216288384512686,平均加权,2,2,1000
0.59658862876254182,0.64000000000000001,分数匹配加权,2,2,1000
0.71462653288740241,0.86381842456608815,平均加权,2,2,1000
0.71830546265328876,0.80800000000000005,分数匹配加权,2,2,1000
0.69500557413600894,0.6702269692923899,平均加权,2,2,1000
0.70231884057971017,0.67733333333333334,分数匹配加权,2,2,1000
0.58784838350055746,0.73431241655540724,平均加权,2,2,1000
0.60795986622073583,0.72266666666666668,分数匹配加权,2,2,1000
0.49585284280936454,0.8010680907877169,平均加权,2,2,1000
0.53346711259754742,0.64000000000000001,分数匹配加权,2,2,1000
0.6575250836120401,0.69425901201602136,平均加权,2,2,1000
0.66492753623188405,0.67733333333333334,分数匹配加权,2,2,1000
0.7302564102564103,0.7997329773030708,平均加权,2,2,1000
0.73493868450390187,0.77866666666666662,分数匹配加权,2,2,1000
0.701850613154961,0.90387182910547392,平均加权,2,2,1000
0.70343366778149385,0.81599999999999995,分数匹配加权,2,2,1000
0.51342251950947604,0.66889185580774368,平均加权,2,2,1000
0.58459308807134891,0.63200000000000001,分数匹配加权,2,2,1000
0.70800445930880718,0.75567423230974629,平均加权,2,2,1000
0.71117056856187288,0.73333333333333328,分数匹配加权,2,2,1000
0.59121516164994425,0.71295060080106809,平均加权,2,2,1000
0.60998885172798212,0.63466666666666671,分数匹配加权,2,2,1000
0.6821404682274248,0.84779706275033373,平均加权,2,2,1000
0.70682274247491639,0.78133333333333332,分数匹配加权,2,2,1000
0.50506131549609812,0.72496662216288388,平均加权,2,2,1000
0.50506131549609812,0.60533333333333328,分数匹配加权,2,2,1000
0.62635451505016726,0.66622162883845126,平均加权,2,2,1000
0.66461538461538461,0.64800000000000002,分数匹配加权,2,2,1000
0.65971014492753621,0.65954606141522032,平均加权,2,2,1000
0.66465997770345597,0.66666666666666663,分数匹配加权,2,2,1000
0.6092084726867335,0.79439252336448596,平均加权,2,2,1000
0.61351170568561875,0.74133333333333329,分数匹配加权,2,2,1000
0.60782608695652174,0.63551401869158874,平均加权,2,2,1000
0.6290523968784838,0.62666666666666671,分数匹配加权,2,2,1000
0.56967670011148275,0.69826435246995999,平均加权,2,2,1000
0.59010033444816057,0.6186666666666667,分数匹配加权,2,2,1000
0.60086956521739132,0.7570093457943925,平均加权,2,2,1000
0.61576365663322186,0.66666666666666663,分数匹配加权,2,2,1000
0.7369230769230769,0.75300400534045397,平均加权,2,2,1000
0.73750278706800443,0.73066666666666669,分数匹配加权,2,2,1000
0.64639910813823853,0.67423230974632842,平均加权,2,2,1000
0.65364548494983277,0.62666666666666671,分数匹配加权,2,2,1000
0.68994425863991082,0.72363150867823767,平均加权,2,2,1000
0.68889632107023413,0.71466666666666667,分数匹配加权,2,2,1000
0.69389074693422514,0.70360480640854473,平均加权,2,2,1000
0.71901895206243027,0.69066666666666665,分数匹配加权,2,2,1000
0.63886287625418059,0.86515353805073436,平均加权,2,2,1000
0.65685618729096995,0.76266666666666671,分数匹配加权,2,2,1000
0.6021181716833891,0.79839786381842459,平均加权,2,2,1000
0.63654403567447049,0.69866666666666666,分数匹配加权,2,2,1000
0.52477146042363432,0.73564753004005345,平均加权,2,2,1000
0.59326644370122628,0.64533333333333331,分数匹配加权,2,2,1000
0.6725306577480491,0.69292389853137515,平均加权,2,2,1000
0.6801783723522854,0.69333333333333336,分数匹配加权,2,2,1000
0.5963656633221851,0.71962616822429903,平均加权,2,2,1000
0.6300334448160535,0.68266666666666664,分数匹配加权,2,2,1000
0.56891861761426976,0.68224299065420557,平均加权,2,2,1000
0.57239687848383503,0.624,分数匹配加权,2,2,1000
0.60278706800445936,0.69559412550066757,平均加权,2,2,1000
0.61614269788182829,0.67200000000000004,分数匹配加权,2,2,1000
0.56885172798216277,0.61815754339118822,平均加权,2,2,1000
0.63328874024526194,0.63733333333333331,分数匹配加权,2,2,1000
0.57395763656633225,0.64485981308411211,平均加权,2,2,1000
0.65212931995540691,0.63466666666666671,分数匹配加权,2,2,1000
0.52749163879598659,0.69292389853137515,平均加权,2,2,1000
0.52149386845039014,0.59733333333333338,分数匹配加权,2,2,1000
0.65005574136008915,0.69025367156208273,平均加权,2,2,1000
0.66289855072463766,0.69066666666666665,分数匹配加权,2,2,1000
0.67801560758082502,0.74499332443257682,平均加权,2,2,1000
0.68066889632107019,0.70399999999999996,分数匹配加权,2,2,1000
0.45534002229654402,0.70761014686248336,平均加权,2,2,1000
0.45612040133779264,0.62133333333333329,分数匹配加权,2,2,1000
0.4715273132664437,0.79305740987983975,平均加权,2,2,1000
0.49857302118171681,0.67200000000000004,分数匹配加权,2,2,1000
0.61208472686733562,0.65020026702269695,平均加权,2,2,1000
0.62521739130434784,0.58133333333333337,分数匹配加权,2,2,1000
0.52539576365663321,0.57943925233644855,平均加权,2,2,1000
0.52981047937569681,0.57599999999999996,分数匹配加权,2,2,1000
0.65861761426978815,0.829105473965287,平均加权,2,2,1000
0.67779264214046819,0.71733333333333338,分数匹配加权,2,2,1000
0.51986622073578592,0.65420560747663548,平均加权,2,2,1000
0.56294314381270905,0.6186666666666667,分数匹配加权,2,2,1000
0.57705685618729097,0.59145527369826434,平均加权,2,2,1000
0.57979933110367898,0.54666666666666663,分数匹配加权,2,2,1000
0.68606465997770349,0.75834445927903871,平均加权,2,2,1000
0.69150501672240805,0.71466666666666667,分数匹配加权,2,2,1000
0.57056856187290972,0.82242990654205606,平均加权,2,2,1000
0.59043478260869564,0.70399999999999996,分数匹配加权,2,2,1000
0.6073801560758082,0.65954606141522032,平均加权,2,2,1000
0.61228539576365659,0.63466666666666671,分数匹配加权,2,2,1000
0.62898550724637681,0.70226969292389851,平均加权,2,2,1000
0.63647714604236338,0.69066666666666665,分数匹配加权,2,2,1000
0.57846153846153847,0.80373831775700932,平均加权,2,2,1000
0.59645484949832772,0.69066666666666665,分数匹配加权,2,2,1000
0.70561872909698997,0.71295060080106809,平均加权,2,2,1000
0.70519509476031217,0.71199999999999997,分数匹配加权,2,2,1000
0.64198439241917504,0.81842456608811753,平均加权,2,2,1000
0.66078037904124864,0.70666666666666667,分数匹配加权,2,2,1000
0.55045707915273134,0.65153538050734316,平均加权,2,2,1000
0.57003344481605356,0.624,分数匹配加权,2,2,1000
0.53681159420289859,0.68245496997998667,平均加权,2,2,2000
0.6044370122630992,0.63466666666666671,分数匹配加权,2,2,2000
0.72840579710144926,0.75250166777851901,平均加权,2,2,2000
0.72965440356744704,0.73066666666666669,分数匹配加权,2,2,2000
0.6041471571906355,0.70313542361574388,平均加权,2,2,2000
0.61654403567447047,0.66266666666666663,分数匹配加权,2,2,2000
0.71219620958751395,0.84056037358238822,平均加权,2,2,2000
0.72967670011148267,0.76400000000000001,分数匹配加权,2,2,2000
0.49489409141583057,0.73248832555036691,平均加权,2,2,2000
0.4949163879598662,0.61599999999999999,分数匹配加权,2,2,2000
0.65913043478260869,0.77985323549032692,平均加权,2,2,2000
0.67074693422519505,0.71199999999999997,分数匹配加权,2,2,2000
0.60222965440356746,0.66711140760507004,平均加权,2,2,2000
0.60909698996655515,0.66266666666666663,分数匹配加权,2,2,2000
0.67879598662207363,0.77985323549032692,平均加权,2,2,2000
0.68738015607580827,0.70399999999999996,分数匹配加权,2,2,2000
0.56499442586399107,0.63909272848565712,平均加权,2,2,2000
0.573221850613155,0.61466666666666669,分数匹配加权,2,2,2000
0.51103678929765883,0.72114743162108075,平均加权,2,2,2000
0.552463768115942,0.66666666666666663,分数匹配加权,2,2,2000
0.60510590858416946,0.7444963308872582,平均加权,2,2,2000
0.61282051282051286,0.67333333333333334,分数匹配加权,2,2,2000
0.71168338907469342,0.75450300200133424,平均加权,2,2,2000
0.71039018952062427,0.73599999999999999,分数匹配加权,2,2,2000
0.67765886287625421,0.70046697798532354,平均加权,2,2,2000
0.67971014492753623,0.69199999999999995,分数匹配加权,2,2,2000
0.68856187290969895,0.68979319546364248,平均加权,2,2,2000
0.71498327759197322,0.69599999999999995,分数匹配加权,2,2,2000
0.72298773690078033,0.82988659106070717,平均加权,2,2,2000
0.73623188405797102,0.7426666666666667,分数匹配加权,2,2,2000
0.6444147157190635,0.86257505003335555,平均加权,2,2,2000
0.66207357859531768,0.76266666666666671,分数匹配加权,2,2,2000
0.5616499442586399,0.78652434956637762,平均加权,2,2,2000
0.60981047937569677,0.68933333333333335,分数匹配加权,2,2,2000
0.51440356744704574,0.7318212141427618,平均加权,2,2,2000
0.58610925306577477,0.63600000000000001,分数匹配加权,2,2,2000
0.6729542920847269,0.6977985323549033,平均加权,2,2,2000
0.6744258639910814,0.68266666666666664,分数匹配加权,2,2,2000
0.60441471571906358,0.73649099399599738,平均加权,2,2,2000
0.62579710144927536,0.69466666666666665,分数匹配加权,2,2,2000
0.57881828316610928,0.70313542361574388,平均加权,2,2,2000
0.581917502787068,0.64000000000000001,分数匹配加权,2,2,2000
0.55904124860646598,0.70246831220813877,平均加权,2,2,2000
0.64869565217391301,0.65466666666666662,分数匹配加权,2,2,2000
0.57676700111482715,0.6037358238825884,平均加权,2,2,2000
0.61141583054626536,0.59199999999999997,分数匹配加权,2,2,2000
0.59647714604236346,0.63308872581721143,平均加权,2,2,2000
0.64416945373467116,0.63600000000000001,分数匹配加权,2,2,2000
0.49125975473801559,0.72114743162108075,平均加权,2,2,2000
0.48635451505016725,0.62666666666666671,分数匹配加权,2,2,2000
0.6324860646599777,0.67711807871914609,平均加权,2,2,2000
0.64965440356744708,0.67466666666666664,分数匹配加权,2,2,2000
